identifier,HWRC,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
,hwrc-eng-dev-kb3136ry,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-kb3136ry,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-kb3136ry,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-ep3991hy,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-ep3991hy,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-ep3991hy,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-ep3991hy,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-ep3991hy,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jp3491hv,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jp3491hv,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jp3491hv,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-jp3491hv,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-jp3491hv,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jp3091hk,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jp3091hk,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jp3091hk,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-jp3091hk,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-jp3091hk,hwrc-trans-05,1,,,,,,,,,,24/09/2021
,hwrc-eng-som-fp3990fa,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-fp3990fa,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-fp3990fa,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-som-fp3990fa,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-som-fp3990fa,hwrc-trans-05,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-qp3193fr,hwrc-trans-01,1,,0,0,,2.0 m,3.0 m,,,,1/10/2021
,hwrc-eng-som-qp3193fr,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-qp3193fr,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-som-qp3193fr,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-som-qp3193fr,hwrc-trans-05,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-dp3990vk,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-dp3990vk,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-dp3990vk,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-som-dp3990vk,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-som-dp3990vk,hwrc-trans-05,1,,0,0,,,,,,,1/10/2021
,hwrc-eng-som-fp3390fx,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-fp3390fx,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
